StudentID,CourseCode
20270001,COURSE008
20270001,COURSE009
20270001,COURSE020
20270002,COURSE015
20270002,COURSE003
20270002,COURSE010
20270003,COURSE013
20270003,COURSE002
20270003,COURSE003
20270004,COURSE002
20270004,COURSE004
20270004,COURSE017
20270005,COURSE007
20270005,COURSE009
20270005,COURSE011
20270006,COURSE016
20270006,COURSE008
20270006,COURSE020
20270007,COURSE007
20270007,COURSE005
20270007,COURSE009
20270008,COURSE011
20270008,COURSE014
20270008,COURSE001
20270009,COURSE004
20270009,COURSE003
20270009,COURSE018
20270010,COURSE005
20270010,COURSE002
20270010,COURSE018
20270011,COURSE018
20270011,COURSE011
20270011,COURSE004
20270012,COURSE013
20270012,COURSE012
20270012,COURSE018
20270013,COURSE015
20270013,COURSE004
20270013,COURSE017
20270014,COURSE001
20270014,COURSE006
20270014,COURSE013
20270015,COURSE002
20270015,COURSE009
20270015,COURSE019
20270016,COURSE020
20270016,COURSE004
20270016,COURSE011
20270017,COURSE001
20270017,COURSE019
20270017,COURSE017
20270018,COURSE018
20270018,COURSE009
20270018,COURSE014
20270019,COURSE010
20270019,COURSE014
20270019,COURSE017
20270020,COURSE009
20270020,COURSE002
20270020,COURSE011
20270021,COURSE018
20270021,COURSE004
20270021,COURSE016
20270022,COURSE014
20270022,COURSE006
20270022,COURSE011
20270023,COURSE006
20270023,COURSE013
20270023,COURSE007
20270024,COURSE006
20270024,COURSE020
20270024,COURSE002
20270025,COURSE019
20270025,COURSE008
20270025,COURSE003
20270026,COURSE017
20270026,COURSE020
20270026,COURSE009
20270027,COURSE011
20270027,COURSE003
20270027,COURSE012
20270028,COURSE003
20270028,COURSE001
20270028,COURSE010
20270029,COURSE012
20270029,COURSE005
20270029,COURSE019
20270030,COURSE004
20270030,COURSE009
20270030,COURSE008
20270031,COURSE002
20270031,COURSE004
20270031,COURSE010
20270032,COURSE009
20270032,COURSE002
20270032,COURSE016
20270033,COURSE001
20270033,COURSE011
20270033,COURSE006
20270034,COURSE007
20270034,COURSE020
20270034,COURSE010
20270035,COURSE015
20270035,COURSE007
20270035,COURSE019
20270036,COURSE004
20270036,COURSE014
20270036,COURSE006
20270037,COURSE003
20270037,COURSE007
20270037,COURSE002
20270038,COURSE017
20270038,COURSE019
20270038,COURSE007
20270039,COURSE014
20270039,COURSE017
20270039,COURSE012
20270040,COURSE011
20270040,COURSE008
20270040,COURSE015
20270041,COURSE010
20270041,COURSE004
20270041,COURSE020
20270042,COURSE019
20270042,COURSE005
20270042,COURSE016
20270043,COURSE008
20270043,COURSE015
20270043,COURSE005
20270044,COURSE007
20270044,COURSE012
20270044,COURSE003
20270045,COURSE010
20270045,COURSE005
20270045,COURSE002
20270046,COURSE001
20270046,COURSE017
20270046,COURSE010
20270047,COURSE008
20270047,COURSE002
20270047,COURSE003
20270048,COURSE010
20270048,COURSE018
20270048,COURSE020
20270049,COURSE011
20270049,COURSE008
20270049,COURSE019
20270050,COURSE018
20270050,COURSE001
20270050,COURSE010
20270051,COURSE019
20270051,COURSE012
20270051,COURSE004
20270052,COURSE006
20270052,COURSE001
20270052,COURSE009
20270053,COURSE015
20270053,COURSE019
20270053,COURSE017
20270054,COURSE006
20270054,COURSE019
20270054,COURSE013
20270055,COURSE005
20270055,COURSE016
20270055,COURSE006
20270056,COURSE015
20270056,COURSE012
20270056,COURSE013
20270057,COURSE011
20270057,COURSE003
20270057,COURSE010
20270058,COURSE010
20270058,COURSE014
20270058,COURSE013
20270059,COURSE003
20270059,COURSE014
20270059,COURSE007
20270060,COURSE004
20270060,COURSE009
20270060,COURSE005
20270061,COURSE004
20270061,COURSE020
20270061,COURSE003
20270062,COURSE017
20270062,COURSE018
20270062,COURSE004
20270063,COURSE010
20270063,COURSE007
20270063,COURSE008
20270064,COURSE019
