StudentID,StudentName,Department
20270001,Student_1,CE
20270002,Student_2,IE
20270003,Student_3,IE
20270004,Student_4,EEE
20270005,Student_5,SE
20270006,Student_6,ME
20270007,Student_7,IE
20270008,Student_8,IE
20270009,Student_9,ME
20270010,Student_10,IE
20270011,Student_11,IE
20270012,Student_12,ME
20270013,Student_13,SE
20270014,Student_14,EEE
20270015,Student_15,ME
20270016,Student_16,ME
20270017,Student_17,SE
20270018,Student_18,IE
20270019,Student_19,SE
20270020,Student_20,EEE
20270021,Student_21,EEE
20270022,Student_22,ME
20270023,Student_23,ME
20270024,Student_24,ME
20270025,Student_25,SE
20270026,Student_26,SE
20270027,Student_27,ME
20270028,Student_28,EEE
20270029,Student_29,IE
20270030,Student_30,IE
20270031,Student_31,EEE
20270032,Student_32,SE
20270033,Student_33,EEE
20270034,Student_34,CE
20270035,Student_35,SE
20270036,Student_36,EEE
20270037,Student_37,CE
20270038,Student_38,SE
20270039,Student_39,EEE
20270040,Student_40,IE
20270041,Student_41,CE
20270042,Student_42,SE
20270043,Student_43,SE
20270044,Student_44,CE
20270045,Student_45,SE
20270046,Student_46,ME
20270047,Student_47,ME
20270048,Student_48,EEE
20270049,Student_49,SE
20270050,Student_50,CE
20270051,Student_51,CE
20270052,Student_52,ME
20270053,Student_53,CE
20270054,Student_54,ME
20270055,Student_55,CE
20270056,Student_56,EEE
20270057,Student_57,IE
20270058,Student_58,CE
20270059,Student_59,IE
20270060,Student_60,IE
20270061,Student_61,EEE
20270062,Student_62,SE
20270063,Student_63,EEE
20270064,Student_64,ME
20270065,Student_65,ME
20270066,Student_66,ME
20270067,Student_67,ME
20270068,Student_68,ME
20270069,Student_69,CE
20270070,Student_70,CE
20270071,Student_71,ME
20270072,Student_72,EEE
20270073,Student_73,ME
20270074,Student_74,CE
20270075,Student_75,IE
20270076,Student_76,EEE
20270077,Student_77,IE
20270078,Student_78,IE
20270079,Student_79,SE
20270080,Student_80,ME
20270081,Student_81,IE
20270082,Student_82,ME
20270083,Student_83,IE
20270084,Student_84,ME
20270085,Student_85,CE
20270086,Student_86,ME
20270087,Student_87,SE
20270088,Student_88,IE
20270089,Student_89,SE
20270090,Student_90,EEE
20270091,Student_91,CE
20270092,Student_92,CE
20270093,Student_93,CE
20270094,Student_94,EEE
20270095,Student_95,CE
20270096,Student_96,ME
20270097,Student_97,CE
20270098,Student_98,CE
20270099,Student_99,ME
20270100,Student_100,SE
20270101,Student_101,CE
20270102,Student_102,IE
20270103,Student_103,EEE
20270104,Student_104,ME
20270105,Student_105,CE
20270106,Student_106,ME
20270107,Student_107,EEE
20270108,Student_108,EEE
20270109,Student_109,SE
20270110,Student_110,IE
20270111,Student_111,CE
20270112,Student_112,IE
20270113,Student_113,IE
20270114,Student_114,EEE
20270115,Student_115,EEE
20270116,Student_116,SE
20270117,Student_117,IE
20270118,Student_118,EEE
20270119,Student_119,ME
20270120,Student_120,CE
20270121,Student_121,SE
20270122,Student_122,IE
20270123,Student_123,IE
20270124,Student_124,ME
20270125,Student_125,ME
20270126,Student_126,ME
20270127,Student_127,ME
20270128,Student_128,ME
20270129,Student_129,EEE
20270130,Student_130,ME
20270131,Student_131,SE
20270132,Student_132,IE
20270133,Student_133,SE
20270134,Student_134,ME
20270135,Student_135,SE
20270136,Student_136,IE
20270137,Student_137,IE
20270138,Student_138,CE
20270139,Student_139,ME
20270140,Student_140,CE
20270141,Student_141,EEE
20270142,Student_142,ME
20270143,Student_143,IE
20270144,Student_144,SE
20270145,Student_145,EEE
20270146,Student_146,ME
20270147,Student_147,IE
20270148,Student_148,IE
20270149,Student_149,IE
20270150,Student_150,ME
20270151,Student_151,IE
20270152,Student_152,SE
20270153,Student_153,SE
20270154,Student_154,EEE
20270155,Student_155,EEE
20270156,Student_156,EEE
20270157,Student_157,SE
20270158,Student_158,ME
20270159,Student_159,IE
20270160,Student_160,IE
20270161,Student_161,IE
20270162,Student_162,ME
20270163,Student_163,ME
20270164,Student_164,EEE
20270165,Student_165,ME
20270166,Student_166,SE
20270167,Student_167,ME
20270168,Student_168,CE
20270169,Student_169,ME
20270170,Student_170,SE
20270171,Student_171,IE
20270172,Student_172,EEE
20270173,Student_173,EEE
20270174,Student_174,IE
20270175,Student_175,SE
20270176,Student_176,IE
20270177,Student_177,ME
20270178,Student_178,CE
20270179,Student_179,IE
20270180,Student_180,SE
20270181,Student_181,ME
20270182,Student_182,EEE
20270183,Student_183,CE
20270184,Student_184,CE
20270185,Student_185,CE
20270186,Student_186,IE
20270187,Student_187,CE
20270188,Student_188,EEE
20270189,Student_189,IE
20270190,Student_190,SE
20270191,Student_191,EEE
20270192,Student_192,CE
20270193,Student_193,IE
20270194,Student_194,IE
20270195,Student_195,CE
20270196,Student_196,SE
20270197,Student_197,EEE
20270198,Student_198,EEE
20270199,Student_199,EEE
20270200,Student_200,IE
20270201,Student_201,EEE
20270202,Student_202,ME
20270203,Student_203,EEE
20270204,Student_204,EEE
20270205,Student_205,ME
20270206,Student_206,IE
20270207,Student_207,IE
20270208,Student_208,ME
20270209,Student_209,CE
20270210,Student_210,CE
20270211,Student_211,SE
20270212,Student_212,SE
20270213,Student_213,IE
20270214,Student_214,SE
20270215,Student_215,CE
20270216,Student_216,EEE
20270217,Student_217,EEE
20270218,Student_218,CE
20270219,Student_219,EEE
20270220,Student_220,ME
20270221,Student_221,ME
20270222,Student_222,IE
20270223,Student_223,ME
20270224,Student_224,ME
20270225,Student_225,IE
20270226,Student_226,IE
20270227,Student_227,SE
20270228,Student_228,CE
20270229,Student_229,IE
20270230,Student_230,ME
20270231,Student_231,ME
20270232,Student_232,SE
20270233,Student_233,ME
20270234,Student_234,ME
20270235,Student_235,IE
20270236,Student_236,CE
20270237,Student_237,IE
20270238,Student_238,ME
20270239,Student_239,SE
20270240,Student_240,ME
20270241,Student_241,SE
20270242,Student_242,SE
20270243,Student_243,IE
20270244,Student_244,SE
20270245,Student_245,ME
20270246,Student_246,CE
20270247,Student_247,EEE
20270248,Student_248,SE
20270249,Student_249,EEE
20270250,Student_250,IE
20270251,Student_251,SE
20270252,Student_252,CE
20270253,Student_253,ME
20270254,Student_254,CE
20270255,Student_255,SE
20270256,Student_256,ME
20270257,Student_257,IE
20270258,Student_258,EEE
20270259,Student_259,IE
20270260,Student_260,IE
20270261,Student_261,SE
20270262,Student_262,SE
20270263,Student_263,EEE
20270264,Student_264,EEE
20270265,Student_265,EEE
20270266,Student_266,SE
20270267,Student_267,IE
20270268,Student_268,EEE
20270269,Student_269,EEE
20270270,Student_270,CE
20270271,Student_271,EEE
20270272,Student_272,IE
20270273,Student_273,ME
20270274,Student_274,ME
20270275,Student_275,IE
20270276,Student_276,EEE
20270277,Student_277,EEE
20270278,Student_278,CE
20270279,Student_279,SE
20270280,Student_280,EEE
20270281,Student_281,ME
20270282,Student_282,ME
20270283,Student_283,ME
20270284,Student_284,SE
20270285,Student_285,IE
20270286,Student_286,EEE
20270287,Student_287,SE
20270288,Student_288,IE
20270289,Student_289,IE
20270290,Student_290,EEE
20270291,Student_291,EEE
20270292,Student_292,SE
20270293,Student_293,EEE
20270294,Student_294,EEE
20270295,Student_295,IE
20270296,Student_296,CE
20270297,Student_297,IE
20270298,Student_298,CE
20270299,Student_299,EEE
20270300,Student_300,SE
20270301,Student_301,EEE
20270302,Student_302,EEE
20270303,Student_303,CE
20270304,Student_304,ME
20270305,Student_305,ME
20270306,Student_306,CE
20270307,Student_307,ME
20270308,Student_308,CE
20270309,Student_309,EEE
20270310,Student_310,CE
20270311,Student_311,IE
20270312,Student_312,CE
20270313,Student_313,SE
20270314,Student_314,SE
20270315,Student_315,EEE
20270316,Student_316,CE
20270317,Student_317,SE
20270318,Student_318,ME
20270319,Student_319,SE
20270320,Student_320,CE
20270321,Student_321,ME
20270322,Student_322,IE
20270323,Student_323,IE
20270324,Student_324,EEE
20270325,Student_325,CE
20270326,Student_326,ME
20270327,Student_327,SE
20270328,Student_328,IE
20270329,Student_329,EEE
20270330,Student_330,EEE
20270331,Student_331,IE
20270332,Student_332,EEE
20270333,Student_333,ME
20270334,Student_334,ME
20270335,Student_335,ME
20270336,Student_336,EEE
20270337,Student_337,IE
20270338,Student_338,EEE
20270339,Student_339,EEE
20270340,Student_340,ME
20270341,Student_341,CE
20270342,Student_342,EEE
20270343,Student_343,ME
20270344,Student_344,EEE
20270345,Student_345,EEE
20270346,Student_346,EEE
20270347,Student_347,EEE
20270348,Student_348,ME
20270349,Student_349,IE
20270350,Student_350,SE
20270351,Student_351,ME
20270352,Student_352,IE
20270353,Student_353,IE
20270354,Student_354,IE
20270355,Student_355,ME
20270356,Student_356,IE
20270357,Student_357,EEE
20270358,Student_358,ME
20270359,Student_359,SE
20270360,Student_360,SE
20270361,Student_361,ME
20270362,Student_362,IE
20270363,Student_363,SE
20270364,Student_364,IE
20270365,Student_365,EEE
20270366,Student_366,IE
20270367,Student_367,EEE
20270368,Student_368,ME
20270369,Student_369,IE
20270370,Student_370,IE
20270371,Student_371,IE
20270372,Student_372,IE
20270373,Student_373,IE
20270374,Student_374,CE
20270375,Student_375,CE
20270376,Student_376,CE
20270377,Student_377,CE
20270378,Student_378,EEE
20270379,Student_379,EEE
20270380,Student_380,IE
20270381,Student_381,EEE
20270382,Student_382,CE
20270383,Student_383,EEE
20270384,Student_384,CE
20270385,Student_385,CE
20270386,Student_386,SE
20270387,Student_387,SE
20270388,Student_388,EEE
20270389,Student_389,IE
20270390,Student_390,IE
20270391,Student_391,ME
20270392,Student_392,CE
20270393,Student_393,ME
20270394,Student_394,IE
20270395,Student_395,EEE
20270396,Student_396,EEE
20270397,Student_397,EEE
20270398,Student_398,EEE
20270399,Student_399,IE
20270400,Student_400,IE
20270401,Student_401,EEE
20270402,Student_402,ME
20270403,Student_403,CE
20270404,Student_404,ME
20270405,Student_405,CE
20270406,Student_406,IE
20270407,Student_407,ME
20270408,Student_408,IE
20270409,Student_409,ME
20270410,Student_410,ME
20270411,Student_411,IE
20270412,Student_412,SE
20270413,Student_413,ME
20270414,Student_414,ME
20270415,Student_415,IE
20270416,Student_416,IE
20270417,Student_417,IE
20270418,Student_418,EEE
20270419,Student_419,ME
20270420,Student_420,EEE
20270421,Student_421,IE
20270422,Student_422,IE
20270423,Student_423,ME
20270424,Student_424,SE
20270425,Student_425,IE
20270426,Student_426,SE
20270427,Student_427,EEE
20270428,Student_428,IE
20270429,Student_429,SE
20270430,Student_430,ME
20270431,Student_431,EEE
20270432,Student_432,SE
20270433,Student_433,EEE
20270434,Student_434,EEE
20270435,Student_435,SE
20270436,Student_436,SE
20270437,Student_437,CE
20270438,Student_438,IE
20270439,Student_439,IE
20270440,Student_440,SE
20270441,Student_441,ME
20270442,Student_442,CE
