StudentID,CourseCode
20260001,COURSE007
20260001,COURSE026
20260001,COURSE012
20260002,COURSE011
20260002,COURSE002
20260002,COURSE017
20260003,COURSE017
20260003,COURSE012
20260003,COURSE005
20260004,COURSE012
20260004,COURSE027
20260004,COURSE006
20260005,COURSE002
20260005,COURSE023
20260005,COURSE016
20260006,COURSE020
20260006,COURSE027
20260006,COURSE018
20260007,COURSE020
20260007,COURSE008
20260007,COURSE021
20260008,COURSE013
20260008,COURSE022
20260008,COURSE028
20260009,COURSE020
20260009,COURSE019
20260009,COURSE001
20260010,COURSE017
20260010,COURSE009
20260010,COURSE018
20260011,COURSE004
20260011,COURSE006
20260011,COURSE010
20260012,COURSE025
20260012,COURSE003
20260012,COURSE021
20260013,COURSE029
20260013,COURSE004
20260013,COURSE023
20260014,COURSE009
20260014,COURSE001
20260014,COURSE015
20260015,COURSE019
20260015,COURSE030
20260015,COURSE007
20260016,COURSE026
20260016,COURSE018
20260016,COURSE002
20260017,COURSE010
20260017,COURSE016
20260017,COURSE019
20260018,COURSE009
20260018,COURSE014
20260018,COURSE010
20260019,COURSE016
20260019,COURSE020
20260019,COURSE028
20260020,COURSE001
20260020,COURSE015
20260020,COURSE003
20260021,COURSE010
20260021,COURSE018
20260021,COURSE008
20260022,COURSE021
20260022,COURSE028
20260022,COURSE003
20260023,COURSE004
20260023,COURSE018
20260023,COURSE010
20260024,COURSE029
20260024,COURSE021
20260024,COURSE012
20260025,COURSE023
20260025,COURSE026
20260025,COURSE021
20260026,COURSE019
20260026,COURSE007
20260026,COURSE001
20260027,COURSE002
20260027,COURSE021
20260027,COURSE011
20260028,COURSE025
20260028,COURSE015
20260028,COURSE017
20260029,COURSE018
20260029,COURSE030
20260029,COURSE029
20260030,COURSE019
20260030,COURSE001
20260030,COURSE006
20260031,COURSE006
20260031,COURSE004
20260031,COURSE003
20260032,COURSE001
20260032,COURSE017
20260032,COURSE024
20260033,COURSE009
20260033,COURSE005
20260033,COURSE011
20260034,COURSE009
20260034,COURSE012
20260034,COURSE003
20260035,COURSE019
20260035,COURSE024
20260035,COURSE015
20260036,COURSE001
20260036,COURSE021
20260036,COURSE017
20260037,COURSE008
20260037,COURSE024
20260037,COURSE011
20260038,COURSE004
20260038,COURSE011
20260038,COURSE016
20260039,COURSE013
20260039,COURSE024
20260039,COURSE027
20260040,COURSE014
20260040,COURSE006
20260040,COURSE019
20260041,COURSE010
20260041,COURSE017
20260041,COURSE016
20260042,COURSE017
20260042,COURSE019
20260042,COURSE028
20260043,COURSE007
20260043,COURSE020
20260043,COURSE001
20260044,COURSE018
20260044,COURSE030
20260044,COURSE015
20260045,COURSE019
20260045,COURSE016
20260045,COURSE026
20260046,COURSE023
20260046,COURSE020
20260046,COURSE026
20260047,COURSE026
20260047,COURSE029
20260047,COURSE030
20260048,COURSE010
20260048,COURSE006
20260048,COURSE001
20260049,COURSE004
20260049,COURSE011
20260049,COURSE007
20260050,COURSE015
20260050,COURSE002
20260050,COURSE004
20260051,COURSE021
20260051,COURSE011
20260051,COURSE020
20260052,COURSE004
20260052,COURSE017
20260052,COURSE013
20260053,COURSE019
20260053,COURSE018
20260053,COURSE017
20260054,COURSE015
20260054,COURSE005
20260054,COURSE013
20260055,COURSE006
20260055,COURSE025
20260055,COURSE010
20260056,COURSE007
20260056,COURSE005
20260056,COURSE013
20260057,COURSE029
20260057,COURSE016
20260057,COURSE023
20260058,COURSE014
20260058,COURSE018
20260058,COURSE013
20260059,COURSE029
20260059,COURSE013
20260059,COURSE009
20260060,COURSE007
20260060,COURSE027
20260060,COURSE015
20260061,COURSE028
20260061,COURSE020
20260061,COURSE029
20260062,COURSE002
20260062,COURSE023
20260062,COURSE014
20260063,COURSE025
20260063,COURSE004
20260063,COURSE012
20260064,COURSE021
20260064,COURSE015
20260064,COURSE001
20260065,COURSE020
20260065,COURSE009
20260065,COURSE029
20260066,COURSE016
20260066,COURSE004
20260066,COURSE009
20260067,COURSE026
20260067,COURSE027
20260067,COURSE005
20260068,COURSE024
20260068,COURSE021
20260068,COURSE005
20260069,COURSE018
20260069,COURSE014
20260069,COURSE023
20260070,COURSE026
20260070,COURSE005
20260070,COURSE028
20260071,COURSE028
20260071,COURSE026
20260071,COURSE016
20260072,COURSE019
20260072,COURSE008
20260072,COURSE001
20260073,COURSE007
20260073,COURSE009
20260073,COURSE019
20260074,COURSE011
20260074,COURSE029
20260074,COURSE012
20260075,COURSE024
20260075,COURSE023
20260075,COURSE004
20260076,COURSE013
20260076,COURSE004
20260076,COURSE030
20260077,COURSE023
20260077,COURSE002
20260077,COURSE026
20260078,COURSE012
20260078,COURSE030
20260078,COURSE021
20260079,COURSE001
20260079,COURSE003
20260079,COURSE007
20260080,COURSE017
20260080,COURSE010
20260080,COURSE018
20260081,COURSE010
20260081,COURSE027
20260081,COURSE008
20260082,COURSE011
20260082,COURSE029
20260082,COURSE023
20260083,COURSE009
20260083,COURSE019
20260083,COURSE006
20260084,COURSE003
20260084,COURSE024
20260084,COURSE007
20260085,COURSE024
20260085,COURSE025
20260085,COURSE023
20260086,COURSE022
20260086,COURSE017
20260086,COURSE004
20260087,COURSE008
20260087,COURSE019
20260087,COURSE002
20260088,COURSE025
20260088,COURSE003
20260088,COURSE009
20260089,COURSE021
20260089,COURSE023
20260089,COURSE007
20260090,COURSE005
20260090,COURSE019
20260090,COURSE003
20260091,COURSE025
20260091,COURSE027
20260091,COURSE006
20260092,COURSE002
20260092,COURSE001
20260092,COURSE014
20260093,COURSE030
20260093,COURSE026
20260093,COURSE010
20260094,COURSE018
20260094,COURSE021
20260094,COURSE029
20260095,COURSE029
20260095,COURSE013
20260095,COURSE028
20260096,COURSE020
20260096,COURSE028
20260096,COURSE027
20260097,COURSE029
20260097,COURSE016
20260097,COURSE025
20260098,COURSE011
20260098,COURSE023
20260098,COURSE013
20260099,COURSE025
20260099,COURSE006
20260099,COURSE004
20260100,COURSE006
20260100,COURSE030
20260100,COURSE022
20260101,COURSE021
20260101,COURSE013
20260101,COURSE001
20260102,COURSE029
20260102,COURSE028
20260102,COURSE024
20260103,COURSE004
20260103,COURSE020
20260103,COURSE028
20260104,COURSE006
20260104,COURSE016
20260104,COURSE011
20260105,COURSE008
20260105,COURSE020
20260105,COURSE016
20260106,COURSE025
20260106,COURSE004
20260106,COURSE012
20260107,COURSE019
20260107,COURSE024
20260107,COURSE018
20260108,COURSE013
20260108,COURSE014
20260108,COURSE025
20260109,COURSE003
20260109,COURSE009
20260109,COURSE004
20260110,COURSE008
20260110,COURSE022
20260110,COURSE002
20260111,COURSE024
20260111,COURSE027
20260111,COURSE020
20260112,COURSE017
20260112,COURSE026
20260112,COURSE024
20260113,COURSE011
20260113,COURSE030
20260113,COURSE019
20260114,COURSE018
20260114,COURSE024
20260114,COURSE027
20260115,COURSE008
20260115,COURSE027
20260115,COURSE001
20260116,COURSE025
20260116,COURSE015
20260116,COURSE030
20260117,COURSE030
20260117,COURSE021
20260117,COURSE009
20260118,COURSE014
20260118,COURSE004
20260118,COURSE013
20260119,COURSE024
20260119,COURSE006
20260119,COURSE026
20260120,COURSE015
20260120,COURSE021
20260120,COURSE001
20260121,COURSE001
20260121,COURSE004
20260121,COURSE027
20260122,COURSE020
20260122,COURSE030
20260122,COURSE010
20260123,COURSE015
20260123,COURSE025
20260123,COURSE022
20260124,COURSE028
20260124,COURSE008
20260124,COURSE010
20260125,COURSE007
20260125,COURSE022
20260125,COURSE029
20260126,COURSE001
20260126,COURSE025
20260126,COURSE004
20260127,COURSE025
20260127,COURSE004
20260127,COURSE028
20260128,COURSE002
20260128,COURSE021
20260128,COURSE006
20260129,COURSE011
20260129,COURSE003
20260129,COURSE030
20260130,COURSE011
20260130,COURSE009
20260130,COURSE002
20260131,COURSE029
20260131,COURSE011
20260131,COURSE013
20260132,COURSE027
20260132,COURSE019
20260132,COURSE010
20260133,COURSE007
20260133,COURSE015
20260133,COURSE011
20260134,COURSE015
20260134,COURSE023
20260134,COURSE028
20260135,COURSE020
20260135,COURSE003
20260135,COURSE010
20260136,COURSE013
20260136,COURSE029
20260136,COURSE018
20260137,COURSE030
20260137,COURSE009
20260137,COURSE007
20260138,COURSE029
20260138,COURSE021
20260138,COURSE015
20260139,COURSE021
20260139,COURSE007
20260139,COURSE017
20260140,COURSE029
20260140,COURSE027
20260140,COURSE021
20260141,COURSE028
20260141,COURSE002
20260141,COURSE004
20260142,COURSE015
20260142,COURSE030
20260142,COURSE018
20260143,COURSE009
20260143,COURSE013
20260143,COURSE012
20260144,COURSE012
20260144,COURSE001
20260144,COURSE027
20260145,COURSE021
20260145,COURSE026
20260145,COURSE006
20260146,COURSE005
20260146,COURSE022
20260146,COURSE009
20260147,COURSE004
20260147,COURSE014
20260147,COURSE002
20260148,COURSE005
20260148,COURSE025
20260148,COURSE028
20260149,COURSE026
20260149,COURSE028
20260149,COURSE012
20260150,COURSE026
20260150,COURSE029
20260150,COURSE006
20260151,COURSE006
20260151,COURSE023
20260151,COURSE026
20260152,COURSE028
20260152,COURSE015
20260152,COURSE017
20260153,COURSE020
20260153,COURSE008
20260153,COURSE015
20260154,COURSE007
20260154,COURSE021
20260154,COURSE018
20260155,COURSE016
20260155,COURSE029
20260155,COURSE015
20260156,COURSE015
20260156,COURSE010
20260156,COURSE022
20260157,COURSE010
20260157,COURSE028
20260157,COURSE021
20260158,COURSE008
20260158,COURSE024
20260158,COURSE011
20260159,COURSE003
20260159,COURSE017
20260159,COURSE001
20260160,COURSE013
20260160,COURSE017
20260160,COURSE010
20260161,COURSE006
20260161,COURSE015
20260161,COURSE026
20260162,COURSE029
20260162,COURSE021
20260162,COURSE011
20260163,COURSE026
20260163,COURSE018
20260163,COURSE020
20260164,COURSE021
20260164,COURSE012
20260164,COURSE003
20260165,COURSE030
20260165,COURSE004
20260165,COURSE027
20260166,COURSE022
20260166,COURSE003
20260166,COURSE030
20260167,COURSE013
20260167,COURSE007
20260167,COURSE022
20260168,COURSE021
20260168,COURSE011
20260168,COURSE016
20260169,COURSE015
20260169,COURSE017
20260169,COURSE012
20260170,COURSE012
20260170,COURSE009
20260170,COURSE029
20260171,COURSE028
20260171,COURSE024
20260171,COURSE012
20260172,COURSE023
20260172,COURSE014
20260172,COURSE003
20260173,COURSE009
20260173,COURSE002
20260173,COURSE008
20260174,COURSE016
20260174,COURSE018
20260174,COURSE019
20260175,COURSE029
20260175,COURSE013
20260175,COURSE007
20260176,COURSE009
20260176,COURSE007
20260176,COURSE005
20260177,COURSE013
20260177,COURSE005
20260177,COURSE015
20260178,COURSE005
20260178,COURSE013
20260178,COURSE009
20260179,COURSE005
20260179,COURSE001
20260179,COURSE023
20260180,COURSE026
20260180,COURSE017
20260180,COURSE003
20260181,COURSE019
20260181,COURSE017
20260181,COURSE006
20260182,COURSE011
20260182,COURSE002
20260182,COURSE020
20260183,COURSE002
20260183,COURSE018
20260183,COURSE026
20260184,COURSE016
20260184,COURSE007
20260184,COURSE026
20260185,COURSE020
20260185,COURSE016
20260185,COURSE010
20260186,COURSE028
20260186,COURSE013
20260186,COURSE012
20260187,COURSE011
20260187,COURSE020
20260187,COURSE024
20260188,COURSE026
20260188,COURSE027
20260188,COURSE025
20260189,COURSE022
20260189,COURSE028
20260189,COURSE026
20260190,COURSE024
20260190,COURSE010
20260190,COURSE021
20260191,COURSE009
20260191,COURSE011
20260191,COURSE003
20260192,COURSE020
20260192,COURSE019
20260192,COURSE018
20260193,COURSE005
20260193,COURSE015
20260193,COURSE006
20260194,COURSE003
20260194,COURSE027
20260194,COURSE020
20260195,COURSE023
20260195,COURSE028
20260195,COURSE020
20260196,COURSE016
20260196,COURSE007
20260196,COURSE019
20260197,COURSE005
20260197,COURSE014
20260197,COURSE001
20260198,COURSE020
20260198,COURSE027
20260198,COURSE015
20260199,COURSE028
20260199,COURSE004
20260199,COURSE020
20260200,COURSE019
20260200,COURSE005
20260200,COURSE003
20260201,COURSE005
20260201,COURSE030
20260201,COURSE008
20260202,COURSE029
20260202,COURSE006
20260202,COURSE008
20260203,COURSE029
20260203,COURSE024
20260203,COURSE028
20260204,COURSE025
20260204,COURSE002
20260204,COURSE006
20260205,COURSE027
20260205,COURSE001
20260205,COURSE029
20260206,COURSE018
20260206,COURSE007
20260206,COURSE013
20260207,COURSE007
20260207,COURSE012
20260207,COURSE013
20260208,COURSE009
20260208,COURSE005
20260208,COURSE001
20260209,COURSE007
20260209,COURSE006
20260209,COURSE022
20260210,COURSE027
20260210,COURSE008
20260210,COURSE001
20260211,COURSE012
20260211,COURSE021
20260211,COURSE001
20260212,COURSE003
20260212,COURSE030
20260212,COURSE029
20260213,COURSE024
20260213,COURSE009
20260213,COURSE004
20260214,COURSE027
20260214,COURSE023
20260214,COURSE003
20260215,COURSE022
20260215,COURSE006
20260215,COURSE009
20260216,COURSE020
20260216,COURSE003
20260216,COURSE007
20260217,COURSE017
20260217,COURSE020
20260217,COURSE004
20260218,COURSE002
20260218,COURSE018
20260218,COURSE003
20260219,COURSE003
20260219,COURSE002
20260219,COURSE013
20260220,COURSE012
20260220,COURSE006
20260220,COURSE021
20260221,COURSE026
20260221,COURSE028
20260221,COURSE019
20260222,COURSE015
20260222,COURSE019
20260222,COURSE018
20260223,COURSE030
20260223,COURSE024
20260223,COURSE023
20260224,COURSE013
20260224,COURSE026
20260224,COURSE028
20260225,COURSE018
20260225,COURSE016
20260225,COURSE009
20260226,COURSE003
20260226,COURSE012
20260226,COURSE019
20260227,COURSE023
20260227,COURSE020
20260227,COURSE001
20260228,COURSE011
20260228,COURSE022
20260228,COURSE016
20260229,COURSE028
20260229,COURSE008
20260229,COURSE023
20260230,COURSE023
20260230,COURSE020
20260230,COURSE008
20260231,COURSE011
20260231,COURSE010
20260231,COURSE028
20260232,COURSE028
20260232,COURSE004
20260232,COURSE027
20260233,COURSE025
20260233,COURSE008
20260233,COURSE003
20260234,COURSE010
20260234,COURSE006
20260234,COURSE023
20260235,COURSE018
20260235,COURSE014
20260235,COURSE002
20260236,COURSE009
20260236,COURSE006
20260236,COURSE011
20260237,COURSE030
20260237,COURSE003
20260237,COURSE024
20260238,COURSE029
20260238,COURSE005
20260238,COURSE002
20260239,COURSE009
20260239,COURSE017
20260239,COURSE026
20260240,COURSE026
20260240,COURSE006
20260240,COURSE017
20260241,COURSE020
20260241,COURSE027
20260241,COURSE029
20260242,COURSE019
20260242,COURSE023
20260242,COURSE030
20260243,COURSE020
20260243,COURSE023
20260243,COURSE006
20260244,COURSE022
20260244,COURSE028
20260244,COURSE012
20260245,COURSE012
20260245,COURSE022
20260245,COURSE002
20260246,COURSE021
20260246,COURSE022
20260246,COURSE017
20260247,COURSE025
20260247,COURSE030
20260247,COURSE001
20260248,COURSE019
20260248,COURSE029
20260248,COURSE011
20260249,COURSE007
20260249,COURSE020
20260249,COURSE002
20260250,COURSE003
20260250,COURSE027
20260250,COURSE029
20260251,COURSE003
20260251,COURSE015
20260251,COURSE001
20260252,COURSE022
20260252,COURSE021
20260252,COURSE013
20260253,COURSE012
20260253,COURSE011
20260253,COURSE022
20260254,COURSE012
20260254,COURSE024
20260254,COURSE017
20260255,COURSE023
20260255,COURSE026
20260255,COURSE020
20260256,COURSE017
20260256,COURSE025
20260256,COURSE016
20260257,COURSE021
20260257,COURSE017
20260257,COURSE012
20260258,COURSE019
20260258,COURSE018
20260258,COURSE014
20260259,COURSE030
20260259,COURSE011
20260259,COURSE009
20260260,COURSE001
20260260,COURSE015
20260260,COURSE022
20260261,COURSE023
20260261,COURSE002
20260261,COURSE021
20260262,COURSE006
20260262,COURSE020
20260262,COURSE010
20260263,COURSE024
20260263,COURSE016
20260263,COURSE009
20260264,COURSE026
20260264,COURSE001
20260264,COURSE008
20260265,COURSE003
20260265,COURSE010
20260265,COURSE005
20260266,COURSE010
20260266,COURSE022
20260266,COURSE001
20260267,COURSE011
20260267,COURSE012
20260267,COURSE022
20260268,COURSE001
20260268,COURSE014
20260268,COURSE010
20260269,COURSE009
20260269,COURSE017
20260269,COURSE010
20260270,COURSE013
20260270,COURSE008
20260270,COURSE009
20260271,COURSE008
20260271,COURSE010
20260271,COURSE014
20260272,COURSE022
20260272,COURSE015
20260272,COURSE020
20260273,COURSE025
20260273,COURSE001
20260273,COURSE027
20260274,COURSE015
20260274,COURSE016
20260274,COURSE012
20260275,COURSE007
20260275,COURSE004
20260275,COURSE002
20260276,COURSE016
20260276,COURSE024
20260276,COURSE022
20260277,COURSE027
20260277,COURSE026
20260277,COURSE015
20260278,COURSE025
20260278,COURSE010
20260278,COURSE001
20260279,COURSE030
