StudentID,StudentName,Department
20260001,Student_1,SE
20260002,Student_2,ME
20260003,Student_3,EEE
20260004,Student_4,ME
20260005,Student_5,CE
20260006,Student_6,SE
20260007,Student_7,ME
20260008,Student_8,ME
20260009,Student_9,ME
20260010,Student_10,IE
20260011,Student_11,CE
20260012,Student_12,ME
20260013,Student_13,IE
20260014,Student_14,ME
20260015,Student_15,EEE
20260016,Student_16,SE
20260017,Student_17,SE
20260018,Student_18,CE
20260019,Student_19,IE
20260020,Student_20,EEE
20260021,Student_21,IE
20260022,Student_22,CE
20260023,Student_23,CE
20260024,Student_24,IE
20260025,Student_25,CE
20260026,Student_26,IE
20260027,Student_27,SE
20260028,Student_28,EEE
20260029,Student_29,EEE
20260030,Student_30,ME
20260031,Student_31,EEE
20260032,Student_32,ME
20260033,Student_33,IE
20260034,Student_34,SE
20260035,Student_35,SE
20260036,Student_36,CE
20260037,Student_37,SE
20260038,Student_38,EEE
20260039,Student_39,SE
20260040,Student_40,ME
20260041,Student_41,SE
20260042,Student_42,EEE
20260043,Student_43,CE
20260044,Student_44,IE
20260045,Student_45,ME
20260046,Student_46,CE
20260047,Student_47,ME
20260048,Student_48,EEE
20260049,Student_49,IE
20260050,Student_50,CE
20260051,Student_51,SE
20260052,Student_52,CE
20260053,Student_53,ME
20260054,Student_54,EEE
20260055,Student_55,IE
20260056,Student_56,SE
20260057,Student_57,CE
20260058,Student_58,SE
20260059,Student_59,SE
20260060,Student_60,IE
20260061,Student_61,CE
20260062,Student_62,CE
20260063,Student_63,SE
20260064,Student_64,EEE
20260065,Student_65,IE
20260066,Student_66,ME
20260067,Student_67,ME
20260068,Student_68,IE
20260069,Student_69,ME
20260070,Student_70,IE
20260071,Student_71,IE
20260072,Student_72,EEE
20260073,Student_73,IE
20260074,Student_74,SE
20260075,Student_75,IE
20260076,Student_76,ME
20260077,Student_77,CE
20260078,Student_78,ME
20260079,Student_79,SE
20260080,Student_80,CE
20260081,Student_81,CE
20260082,Student_82,ME
20260083,Student_83,EEE
20260084,Student_84,EEE
20260085,Student_85,ME
20260086,Student_86,IE
20260087,Student_87,CE
20260088,Student_88,IE
20260089,Student_89,SE
20260090,Student_90,SE
20260091,Student_91,IE
20260092,Student_92,CE
20260093,Student_93,IE
20260094,Student_94,EEE
20260095,Student_95,EEE
20260096,Student_96,IE
20260097,Student_97,EEE
20260098,Student_98,CE
20260099,Student_99,CE
20260100,Student_100,IE
20260101,Student_101,CE
20260102,Student_102,ME
20260103,Student_103,CE
20260104,Student_104,ME
20260105,Student_105,ME
20260106,Student_106,ME
20260107,Student_107,SE
20260108,Student_108,SE
20260109,Student_109,CE
20260110,Student_110,CE
20260111,Student_111,SE
20260112,Student_112,SE
20260113,Student_113,ME
20260114,Student_114,IE
20260115,Student_115,CE
20260116,Student_116,EEE
20260117,Student_117,ME
20260118,Student_118,CE
20260119,Student_119,CE
20260120,Student_120,SE
20260121,Student_121,IE
20260122,Student_122,EEE
20260123,Student_123,EEE
20260124,Student_124,IE
20260125,Student_125,IE
20260126,Student_126,EEE
20260127,Student_127,IE
20260128,Student_128,CE
20260129,Student_129,EEE
20260130,Student_130,CE
20260131,Student_131,IE
20260132,Student_132,ME
20260133,Student_133,ME
20260134,Student_134,ME
20260135,Student_135,ME
20260136,Student_136,IE
20260137,Student_137,EEE
20260138,Student_138,ME
20260139,Student_139,IE
20260140,Student_140,ME
20260141,Student_141,ME
20260142,Student_142,IE
20260143,Student_143,CE
20260144,Student_144,IE
20260145,Student_145,IE
20260146,Student_146,CE
20260147,Student_147,IE
20260148,Student_148,ME
20260149,Student_149,ME
20260150,Student_150,SE
20260151,Student_151,SE
20260152,Student_152,ME
20260153,Student_153,IE
20260154,Student_154,CE
20260155,Student_155,EEE
20260156,Student_156,CE
20260157,Student_157,EEE
20260158,Student_158,SE
20260159,Student_159,IE
20260160,Student_160,IE
20260161,Student_161,ME
20260162,Student_162,IE
20260163,Student_163,IE
20260164,Student_164,ME
20260165,Student_165,IE
20260166,Student_166,IE
20260167,Student_167,EEE
20260168,Student_168,SE
20260169,Student_169,ME
20260170,Student_170,IE
20260171,Student_171,EEE
20260172,Student_172,EEE
20260173,Student_173,SE
20260174,Student_174,ME
20260175,Student_175,IE
20260176,Student_176,IE
20260177,Student_177,EEE
20260178,Student_178,CE
20260179,Student_179,EEE
20260180,Student_180,ME
20260181,Student_181,CE
20260182,Student_182,CE
20260183,Student_183,IE
20260184,Student_184,CE
20260185,Student_185,CE
20260186,Student_186,ME
20260187,Student_187,IE
20260188,Student_188,EEE
20260189,Student_189,CE
20260190,Student_190,ME
20260191,Student_191,ME
20260192,Student_192,EEE
20260193,Student_193,EEE
20260194,Student_194,EEE
20260195,Student_195,IE
20260196,Student_196,EEE
20260197,Student_197,ME
20260198,Student_198,EEE
20260199,Student_199,ME
20260200,Student_200,EEE
20260201,Student_201,IE
20260202,Student_202,SE
20260203,Student_203,IE
20260204,Student_204,EEE
20260205,Student_205,IE
20260206,Student_206,EEE
20260207,Student_207,SE
20260208,Student_208,EEE
20260209,Student_209,EEE
20260210,Student_210,SE
20260211,Student_211,CE
20260212,Student_212,SE
20260213,Student_213,SE
20260214,Student_214,SE
20260215,Student_215,SE
20260216,Student_216,ME
20260217,Student_217,CE
20260218,Student_218,ME
20260219,Student_219,IE
20260220,Student_220,EEE
20260221,Student_221,IE
20260222,Student_222,SE
20260223,Student_223,ME
20260224,Student_224,SE
20260225,Student_225,ME
20260226,Student_226,SE
20260227,Student_227,ME
20260228,Student_228,EEE
20260229,Student_229,CE
20260230,Student_230,EEE
20260231,Student_231,CE
20260232,Student_232,IE
20260233,Student_233,SE
20260234,Student_234,SE
20260235,Student_235,EEE
20260236,Student_236,ME
20260237,Student_237,SE
20260238,Student_238,EEE
20260239,Student_239,SE
20260240,Student_240,CE
20260241,Student_241,SE
20260242,Student_242,EEE
20260243,Student_243,IE
20260244,Student_244,CE
20260245,Student_245,SE
20260246,Student_246,IE
20260247,Student_247,SE
20260248,Student_248,ME
20260249,Student_249,ME
20260250,Student_250,CE
20260251,Student_251,EEE
20260252,Student_252,SE
20260253,Student_253,IE
