StudentID,CourseCode
20250001,COURSE027
20250001,COURSE029
20250001,COURSE024
20250001,COURSE035
20250002,COURSE002
20250002,COURSE028
20250002,COURSE005
20250002,COURSE015
20250003,COURSE023
20250003,COURSE030
20250003,COURSE024
20250003,COURSE021
20250004,COURSE039
20250004,COURSE008
20250004,COURSE016
20250004,COURSE003
20250005,COURSE024
20250005,COURSE028
20250005,COURSE002
20250005,COURSE004
20250006,COURSE038
20250006,COURSE036
20250006,COURSE020
20250006,COURSE034
20250007,COURSE012
20250007,COURSE019
20250007,COURSE036
20250007,COURSE025
20250008,COURSE023
20250008,COURSE001
20250008,COURSE007
20250008,COURSE027
20250009,COURSE015
20250009,COURSE031
20250009,COURSE035
20250009,COURSE030
20250010,COURSE016
20250010,COURSE027
20250010,COURSE037
20250010,COURSE025
20250011,COURSE028
20250011,COURSE004
20250011,COURSE039
20250011,COURSE021
20250012,COURSE032
20250012,COURSE010
20250012,COURSE035
20250012,COURSE016
20250013,COURSE003
20250013,COURSE006
20250013,COURSE023
20250013,COURSE031
20250014,COURSE021
20250014,COURSE024
20250014,COURSE030
20250014,COURSE015
20250015,COURSE020
20250015,COURSE019
20250015,COURSE014
20250015,COURSE011
20250016,COURSE014
20250016,COURSE012
20250016,COURSE019
20250016,COURSE004
20250017,COURSE007
20250017,COURSE010
20250017,COURSE022
20250017,COURSE024
20250018,COURSE009
20250018,COURSE021
20250018,COURSE018
20250018,COURSE002
20250019,COURSE006
20250019,COURSE021
20250019,COURSE018
20250019,COURSE040
20250020,COURSE040
20250020,COURSE025
20250020,COURSE028
20250020,COURSE013
20250021,COURSE017
20250021,COURSE037
20250021,COURSE005
20250021,COURSE008
20250022,COURSE035
20250022,COURSE026
20250022,COURSE011
20250022,COURSE010
20250023,COURSE033
20250023,COURSE006
20250023,COURSE019
20250023,COURSE005
20250024,COURSE022
20250024,COURSE012
20250024,COURSE030
20250024,COURSE033
20250025,COURSE035
20250025,COURSE024
20250025,COURSE009
20250025,COURSE014
20250026,COURSE024
20250026,COURSE009
20250026,COURSE032
20250026,COURSE017
20250027,COURSE005
20250027,COURSE035
20250027,COURSE021
20250027,COURSE028
20250028,COURSE014
20250028,COURSE006
20250028,COURSE035
20250028,COURSE028
20250029,COURSE004
20250029,COURSE021
20250029,COURSE014
20250029,COURSE034
20250030,COURSE028
20250030,COURSE023
20250030,COURSE039
20250030,COURSE001
20250031,COURSE030
20250031,COURSE037
20250031,COURSE016
20250031,COURSE011
20250032,COURSE036
20250032,COURSE023
20250032,COURSE001
20250032,COURSE025
20250033,COURSE029
20250033,COURSE017
20250033,COURSE003
20250033,COURSE004
20250034,COURSE004
20250034,COURSE006
20250034,COURSE022
20250034,COURSE005
20250035,COURSE032
20250035,COURSE019
20250035,COURSE015
20250035,COURSE024
20250036,COURSE026
20250036,COURSE034
20250036,COURSE038
20250036,COURSE002
20250037,COURSE022
20250037,COURSE031
20250037,COURSE034
20250037,COURSE010
20250038,COURSE036
20250038,COURSE019
20250038,COURSE039
20250038,COURSE001
20250039,COURSE031
20250039,COURSE037
20250039,COURSE010
20250039,COURSE026
20250040,COURSE009
20250040,COURSE025
20250040,COURSE027
20250040,COURSE007
20250041,COURSE014
20250041,COURSE020
20250041,COURSE016
20250041,COURSE019
20250042,COURSE023
20250042,COURSE020
20250042,COURSE018
20250042,COURSE006
20250043,COURSE016
20250043,COURSE024
20250043,COURSE012
20250043,COURSE018
20250044,COURSE025
