CourseCode,CourseName,ExamDuration
COURSE001,Course_1,60
COURSE002,Course_2,90
COURSE003,Course_3,120
COURSE004,Course_4,60
COURSE005,Course_5,90
COURSE006,Course_6,120
COURSE007,Course_7,120
COURSE008,Course_8,120
COURSE009,Course_9,120
COURSE010,Course_10,90
COURSE011,Course_11,120
COURSE012,Course_12,120
COURSE013,Course_13,90
COURSE014,Course_14,90
COURSE015,Course_15,90
COURSE016,Course_16,120
COURSE017,Course_17,120
COURSE018,Course_18,90
COURSE019,Course_19,120
COURSE020,Course_20,60
COURSE021,Course_21,90
COURSE022,Course_22,90
COURSE023,Course_23,90
COURSE024,Course_24,90
COURSE025,Course_25,60
COURSE026,Course_26,60
COURSE027,Course_27,60
COURSE028,Course_28,120
COURSE029,Course_29,90
COURSE030,Course_30,60
COURSE031,Course_31,60
COURSE032,Course_32,120
COURSE033,Course_33,90
COURSE034,Course_34,90
COURSE035,Course_35,120
COURSE036,Course_36,60
COURSE037,Course_37,90
COURSE038,Course_38,60
COURSE039,Course_39,60
COURSE040,Course_40,120
