StudentID,StudentName,Department
20250001,Student_1,IE
20250002,Student_2,ME
20250003,Student_3,IE
20250004,Student_4,EEE
20250005,Student_5,ME
20250006,Student_6,EEE
20250007,Student_7,SE
20250008,Student_8,SE
20250009,Student_9,IE
20250010,Student_10,EEE
20250011,Student_11,CE
20250012,Student_12,ME
20250013,Student_13,IE
20250014,Student_14,EEE
20250015,Student_15,ME
20250016,Student_16,IE
20250017,Student_17,IE
20250018,Student_18,SE
20250019,Student_19,IE
20250020,Student_20,SE
20250021,Student_21,ME
20250022,Student_22,EEE
20250023,Student_23,ME
20250024,Student_24,ME
20250025,Student_25,ME
20250026,Student_26,CE
20250027,Student_27,EEE
20250028,Student_28,EEE
20250029,Student_29,IE
20250030,Student_30,SE
20250031,Student_31,SE
20250032,Student_32,CE
20250033,Student_33,SE
20250034,Student_34,SE
20250035,Student_35,ME
20250036,Student_36,IE
20250037,Student_37,CE
20250038,Student_38,ME
20250039,Student_39,IE
20250040,Student_40,CE
20250041,Student_41,EEE
20250042,Student_42,ME
20250043,Student_43,CE
20250044,Student_44,SE
20250045,Student_45,IE
20250046,Student_46,SE
20250047,Student_47,IE
20250048,Student_48,IE
20250049,Student_49,CE
20250050,Student_50,SE
20250051,Student_51,SE
20250052,Student_52,EEE
20250053,Student_53,SE
20250054,Student_54,ME
20250055,Student_55,IE
20250056,Student_56,EEE
20250057,Student_57,ME
20250058,Student_58,ME
20250059,Student_59,EEE
20250060,Student_60,IE
20250061,Student_61,CE
20250062,Student_62,ME
20250063,Student_63,CE
20250064,Student_64,IE
20250065,Student_65,IE
20250066,Student_66,EEE
20250067,Student_67,SE
20250068,Student_68,ME
20250069,Student_69,EEE
20250070,Student_70,ME
20250071,Student_71,EEE
20250072,Student_72,IE
20250073,Student_73,IE
20250074,Student_74,CE
20250075,Student_75,IE
20250076,Student_76,IE
20250077,Student_77,ME
20250078,Student_78,IE
20250079,Student_79,SE
20250080,Student_80,EEE
20250081,Student_81,SE
20250082,Student_82,CE
